Comunidad Autónoma,Center,Measure,Energy Saved,Money Saved,Investment,Pay back period
Andalucía,Asepeyo Algeciras,Sistema de Gestión Energética,1651,665,3000,4.5
Andalucía,Asepeyo Algeciras,Instalación regletas programables,580,234,171,0.7
Andalucía,Asepeyo Algeciras,Instalación Solar térmica,1280,516,3150,6.1
Andalucía,Asepeyo Cádiz,Promover la cultura energética,998,336,250,0.7
Andalucía,Asepeyo Cádiz,Sistema de Gestión Energética,1497,499,2650,5.3
Andalucía,Asepeyo Cádiz,Instalación cortina de aire,2120,706,1950,2.8
Andalucía,Asepeyo Córdoba,Promover la cultura energética,1014,337,250,0.7
Andalucía,Asepeyo Córdoba,Reducción de consumo remanente,1651,548,320,0.6
Andalucía,Asepeyo Córdoba,Cambio Iluminacion LED,687,229,720,3.15
Andalucía,Asepeyo Córdoba,Sistema de gestión energética,2027,675,2681,4
Andalucía,Asepeyo Écija,Sistema de Gestión de la Energía (monitorización),1224,404,2150,5.3
Andalucía,Asepeyo Écija,Promover la cultura energética,612,202,250,1.2
Andalucía,Asepeyo Écija,Instalación cortina de aire,1380,456,2400,5.26
Andalucía,Asepeyo Fuengirola,Promover la cultura energética,1197,402,250,0.6
Andalucía,Asepeyo Fuengirola,Reducción de consumo remanente,2992,994,320,0.3
Andalucía,Asepeyo Fuengirola,Cambio Iluminacion LED,1026,341,1420,4.17
Andalucía,Asepeyo Fuengirola,Eliminación energía reactiva,0,66,1090,16.5
Andalucía,Asepeyo Fuengirola,Sistema de gestión energética,2393,795,2495,3.1
Andalucía,Asepeyo Jerez de la Frontera,Promover la cultura energética,783,263,250,1
Andalucía,Asepeyo Jerez de la Frontera,Instalación de cortina de aire,1775,586,2400,4.1
Andalucía,Asepeyo Jerez de la Frontera,Sistema de gestión energética,1567,503,2150,4.3
Andalucía,Asepeyo Jerez de la Frontera,Eliminación energía reactiva,0,1105,2540,2.3
Andalucía,Asepeyo Málaga,Sistema de Gestión de la Energía (monitorización),3186,1021,2495,2.4
Andalucía,Asepeyo Málaga,Promover la cultura energética,2124,714,250,0.4
Andalucía,Asepeyo Málaga,Reducción del consumo remanente,5311,1752,268,0.2
Andalucía,Asepeyo Sevilla,Sistema de gestión energética ISO 50001,29223,7331,8500,1.2
Andalucía,Asepeyo Sevilla,Promover la cultura energética,7306,1833,0,0
Andalucía,Asepeyo Sevilla,Instalación de Variadores de frecuencia en bombas hidráulicas,16876,4481,18740,4.2
Andalucía,Asepeyo Sevilla,Mejora en el control actual (iluminación),42331,11239,26784,2.4
Andalucía,Asepeyo Sevilla,Sustitución de luminarias a LED,94217,25015,38475,1.5
Andalucía,Asepeyo Sevilla,Instalación Fotovoltaica,40680,10801,57420,5.3
Aragón,Asepeyo Zaragoza-Cogullada,Sistema de Gestión Energética,1477,490,1495,3
Aragón,Asepeyo Zaragoza-Cogullada,Instalación de temporizador digital en termo eléctrico,1572,522,60,0.1
Aragón,Asepeyo Zaragoza-Cogullada,Regulación de la temperatura de consigna,2397,796,0,0
Aragón,Asepeyo Zaragoza-Cogullada,Reducción del consumo remanente,2385,792,160,0.2
Aragón,Asepeyo Teruel,Ajuste O2 en caldera gasóleo C,18265,1794,0,0.1
Aragón,Asepeyo Teruel,Instalación de temporizador digital en termo eléctrico,1206,404,70,0.2
Aragón,Asepeyo Teruel,Regulación de la temperatura de consigna,6558,975,0,0
Aragón,Asepeyo Teruel,Sistema de Gestión Energética,3080,674,1500,2.2
Aragón,Asepeyo Utebo,Instalación Fotovoltaica,2985,1026,1800,1.8
Aragón,Asepeyo Utebo,Instalación de temporizador digital en termo eléctrico,279,93,70,0.7
Aragón,Asepeyo Utebo,Regulación de la temperatura de consigna,337,117,0,0
Aragón,Asepeyo Utebo,Sistema de Gestión Energética,358,123,1500,12.2
Aragón,Asepeyo Zaragoza,Instalación Fotovoltaica,13458,4510,8550,1.9
Aragón,Asepeyo Zaragoza,Instalación de temporizador digital en termo eléctrico,5201,1743,1200,0.2
Aragón,Asepeyo Zaragoza,Regulación de la temperatura de consigna,1065,357,0,0
Aragón,Asepeyo Zaragoza,Sistema de Gestión Energética,6225,2086,1750,0.8
Castilla la Mancha,Asepeyo Albacete,Sustitución luminarias a LED,1469,494,724,1.5
Castilla la Mancha,Asepeyo Albacete,Instalación cortina de aire en puerta de entrada,1150,402,1200,3
Castilla la Mancha,Asepeyo Albacete,Sistema de Gestión Energética,1460,511,1495,2.9
Castilla la Mancha,Asepeyo Albacete,Eliminación de la energía reactiva,0,456,1597,3.5
Castilla la Mancha,Asepeyo Albacete,Instalación de temporizador digital en termo eléctrico,890,312,20,0.1
Castilla la Mancha,Asepeyo Albacete,Instalación de temporizador digital en baño de parafina,969,339,20,0.1
Castilla la Mancha,Asepeyo Albacete,Regulación de la temperatura de consigna,2069,724,0,0
Castilla la Mancha,Asepeyo Albacete,Promover la cultura energética,973,341,0,0
