,,,,,,
,Center ,Measure,Energy Saved,Money Saved ,Investment ,Pay back period 
Aragón,Asepeyo Zaragoza-Cogullada,Sistema de Gestión Energética,1477,490,1495,3
,,Instalación de temporizador digital en termo eléctrico,1572,522,60,0.1
,,Regulación de la temperatura de consigna,2397,796,0,0
,,Reducción del consumo remanente,2385,792,160,0.2
,Asepeyo Teruel,Ajuste O2 en caldera gasóleo C,18265,1794,0,0.1
,,Instalación de temporizador digital en termo eléctrico,1206,404,70,0.2
,,Ajuste de la temperatura de consigna,6558,975,0,0
,,Sistema de Gestión Energética,3080,674,1500,2.2
,Asepeyo Utebo,Instalación Fotovoltaica,2985,1026,1800,1.8
,,Instalación de temporizador digital en termo eléctrico,279,93,70,0.7
,,Ajuste de la temperatura de consigna,337,117,0,0
,,Sistema de Gestión Energética,358,123,1500,12.2
,Asepeyo Zaragoza,Instalación Fotovoltaica,13458,4510,8550,1.9
,,Instalación de temporizador digital en termo eléctrico,5201,1743,1200,0.2
,,Ajuste de la temperatura de consigna,1065,357,0,0
,,Sistema de Gestión Energética,6225,2086,1750,0.8
,Asepeyo Albacete,Sustitución luminarias a LED,1469,494,724,1.5
,,Instalación cortina de aire en puerta de entrada,1150,402,1200,3
,,Sistema de Gestión Energética,1460,511,1495,2.9
,,Eliminación de la energía reactiva,0,456,1597,3.5
,,Instalación de temporizador digital en termo eléctrico,890,312,20,0.1
,,Instalación de temporizador digital en baño de parafina,969,339,20,0.1
,,Regulación de la temperatura de consigna,2069,724,0,0
,,Promover la cultura energética,973,341,0,0
,Asepeyo Alcázar de San Juan,Promover la cultura energética,729,234,0,0
,,Sistema de Gestión Energética,1094,351,1295,3.7
,,Regulación de la temperatura de consigna,3772,1210,0,0
,,Instalación de temporizador digital en baño de parafina,969,311,20,0
,,Reducción del consumo remanente,3370,1081,90,0
,Asepeyo Ciudad Real,Promover la cultura energética,742,251,0,0
,,Instalación cortina de aire en puerta de entrada,818,277,1200,4.3
,,Sistema de Gestión Energética,1113,374,1295,3.5
,,Eliminación de la energía reactiva,0,188,861,4.6
,,Instalación de temporizador digital en baño de parafina,969,328,20,0.1
,,Sustitución luminarias a LED,2332,790,1078,1.4
,Asepeyo Ciudad Real Officina,Instalación Fotovoltaica,2481,831,1350,2
,,Reducción del consumo remanente,546,148,0,0
,,Sistema de Gestión Energética,362,121,500,4.12
,,Promover la cultura energética,483,162,0,0
,,Instalación de temporizador digital en termo eléctrico,374,125,17,0.14
,,Sustitución luminarias a LED,2890,968,1707,1.76
,,Mejora en el control de la iluminación,2890,968,1707,1.76
,Asepeyo Puertollano,Promover la cultura energética,615,205,0,0
,,Instalación cortina de aire en puerta de entrada,628,209,1200,5.7
,,Sistema de Gestión Energética,922,310,1295,4.2
,,Eliminación de la energía reactiva,0,129,645,5
,,Instalación de temporizador digital en baño de parafina,969,323,20,0.1
,,Instalación de temporizador digital en termo eléctrico,899,299,60,0.2
,,Reducción del consumo remanente,4082,1360,90,0.1
,Asepeyo Valdepeñas,Promover la cultura energética,607,209,0,0
,,Sistema de Gestión Energética,911,314,1295,4.1
,,Instalación de temporizador digital en termo eléctrico,1423,490,60,0.1
,,Instalación de temporizador digital en baño de parafina,969,334,20,0.1
,,,0, ,0,
,Asepeyo Burgos,Sistema de Gestión Energética,2885,886,1695,1.9
,,Sustitución luminarias a LED,2232,685,1654,2.4
,,Instalación de temporizador digital en termo eléctrico,468,144,20,0.1
,,Reducción del consumo remanente,3085,947,160,0.2
,Asepeyo Valladolid,Sistema de Gestión Energética,4155,1385,2495,1.8
,,Regulación de la temperatura de consigna,4358,1452,0,0
,,Instalación de temporizador digital en termo eléctrico,3794,1264,40,0
,,Reducción del consumo remanente,3193,1064,319,0.3
Cataluña,Badalona Nuevo,Regulación de la temperatura de consigna,1787,352,0,0
,,Instalación cortina de aire en puerta de entrada,5009,987,1200,1.2
,,Sistema de Gestión Energética,2119,418,1500,3.6
,,Promover la cultura energética,2825,557,0,0
,Asepeyo Berga,Promover la cultura energética,1062,354,0,0
,,Regulación de la temperatura de consigna,1355,452,0,0
,,Reducción del consumo remanente,1278,426,56,0.1
,,Sistema de Gestión Energética,1594,532,1795,3.4
,Asepeyo Caspe,Sistema de Gestión Energética,4370,1445,1500,1.2
,,Regulación de la temperatura de consigna,2493,824,0,0
,,Instalación cortina de aire en puerta de entrada,6989,2310,1200,0.5
,,Recuperadores de calor,16648,5504,13500,2.5
,Asepeyo Cerdanyola,Sistema de Gestión Energética,1684,548,1500,2.7
,,Regulación de la temperatura de consigna,1030,335,0,0
,,Instalación cortina de aire en puerta de entrada,2886,942,1200,1.3
,,Instalación de temporizador digital en termo eléctrico,910,296,70,0.2
,Asepeyo Figueres,Instalación Fotovoltaica,6516,1910,4050,2
,,Sistema de Gestión Energética,1050,359,1500,4.18
,,Promover la cultura energética,1399,478,0,0
,,Instalación de temporizador digital en termo eléctrico,374,130,34,0
,Asepeyo Gavà,Instalación Fotovoltaica,6116,1978,4050,2
,,Optimización de la potencia contratada,0,326,10,0
,,Sistema de Gestión Energética,1845,596,1500,2.51
,,Promover la cultura energética,2460,795,0,0
,,Instalación de temporizador digital en termo eléctrico,1048,339,34,0
,Asepeyo Girona,Regulación de la temperatura de consigna,4902,1560,0,0
,,Instalación cortina de aire en puerta de entrada,14161,4506,1200,0.3
,,Sistema de Gestión Energética,7694,2448,1500,0.6
,,Regulación de ventilación mediante sonda de CO2,10893,3465,550,0.2
,Asepeyo Granollers,Promover la cultura energética,3135,956,0,0
,,Regulación de la temperatura de consigna,1328,398,0,0
,,Sistema de Gestión Energética,6270,584,1500,2.6
,Asepeyo L'Hospitalet,Regulación de ventilación mediante sonda de CO2,3120,991,550,1.8
,,Regulación de la temperatura de consigna,2426,771,0,0
,,Sistema de Gestión Energética,6225,1978,1500,0.8
,Asepeyo Lleida,Instalación Fotovoltaica,8462,2579,4950,2
,,Reducción del consumo remanente,7468,2024,170,0
,,Sistema de Gestión Energética,2645,806,1500,1.86
,,Promover la cultura energética,3527,1075,0,0
,,Instalación de temporizador digital en termo eléctrico,1498,518,17,0
,,Optimización de la potencia contratada,0,237,10,0.04
,Asepeyo Manresa,Eliminación de la energía reactiva,0,559,705,1.3
,,Instalación de temporizador digital en termo eléctrico,1710,550,180,0.3
,,Instalación cortina de aire en puerta de entrada,4782,1539,1200,0.8
,,Sistema de Gestión Energética,3871,1246,1500,1
,,Sustitución luminarias a LED,1342,432,929,2.2
,Asepeyo Martorell 1,Sistema de Gestión Energética,1321,428,1500,3.5
,,Promover la cultura energética,881,286,0,0
,,Instalación de temporizador digital en termo eléctrico,1154,394,60,0
,,Reducción del consumo remanente,960,253,170,0.67
,Asepeyo Martorell 2,Instalación Fotovoltaica,6116,1983,4050,2
,,Optimización de la potencia contratada,0,139,10,0
,,Sistema de Gestión Energética,950,308,1500,4.87
,,Promover la cultura energética,633,205,0,0
,,Instalación de temporizador digital en termo eléctrico,562,192,34,0
,,Reducción del consumo remanente,764,200,170,0.85
,Asepeyo Mataró,Instalación Fotovoltaica,7475,2474,4950,2
,,Reducción del consumo remanente,2422,802,170,0
,,Sistema de Gestión Energética,1597,528,1500,2.84
,,Promover la cultura energética,2129,705,0,0
,,Instalación de temporizador digital en termo eléctrico,1011,350,34,0
,,Optimización de la potencia contratada,0,762,10,0.01
,Asepeyo Mercabarna,Instalación Fotovoltaica,6116,1793,4050,2
,,Sistema de Gestión Energética,398,117,750,6.43
,,Promover la cultura energética,530,155,0,0
,,Optimización de la potencia contratada,0,81,10,0
,Asepeyo Molins de Rei,Instalación Fotovoltaica,19027,5895,12600,2
,,Reducción del consumo remanente,16038,4273,250,0
,,Sistema de Gestión Energética,2283,707,1500,2.12
,,Promover la cultura energética,3044,943,0,0
,Asepeyo Mollet del Vallés,Instalación Fotovoltaica,10193,3415,6750,2
,,Optimización de la potencia contratada,0,287,10,0
,,Sistema de Gestión Energética,1452,487,1500,3.08
,,Promover la cultura energética,968,324,0,0
,,Instalación de temporizador digital en termo eléctrico,1123,376,34,0
,Asepeyo Olot,Instalación Fotovoltaica,13755,4701,8550,2
,,Optimización de la potencia contratada,0,213,10,0
,,Sistema de Gestión Energética,1238,423,1500,3.54
,,Promover la cultura energética,1651,564,0,0
,,Instalación de temporizador digital en termo eléctrico,842,288,51,0
,Asepeyo Palamós,Regulación de la temperatura de consigna,1416,451,0,0
,,Instalación cortina de aire en puerta de entrada,2630,837,1200,1.4
,,Sistema de Gestión Energética,1571,500,1500,3
,Asepeyo Pineda de Mar,Instalación cortina de aire en puerta de entrada,2495,731,1200,2
,,Optimización de la potencia contratada,0,685,10,0
,,Sistema de Gestión Energética,1140,377,1500,3.98
,,Promover la cultura energética,760,252,0,0
,,Instalación de temporizador digital en termo eléctrico,711,235,0,0
,Asepeyo Reus,Instalación cortina de aire en puerta de entrada,1554,210,850,4.05
,,Regulación de la temperatura de consigna,1943,620,0,0
,,Sistema de Gestión Energética,1507,494,1500,3.04
,,Promover la cultura energética,1318,434,0,0
,Asepeyo Sabadell,Instalación cortina de aire en puerta de entrada,5460,1689,1200,0.7
,,Promover la cultura energética,3193,1015,0,0
,,Regulación de la temperatura de consigna,1960,606,0,0
,,Sistema de Gestión Energética,4790,1482,1500,1
,Asepeyo Sagrera,Regulación de la temperatura de consigna,1462,476,0,0
,,Regulación de ventilación mediante sonda de CO2,3640,1257,550,0.4
,,Instalación cortina de aire en puerta de entrada,6455,2101,1200,0.6
,,Sistema de Gestión Energética,6316,2055,1500,0.7
,Asepeyo Sant Boi,Regulación de la temperatura de consigna,1950,663,0,0
,,Instalación de temporizador digital en termo eléctrico,1147,390,60,0.2
,,Sistema de Gestión Energética,1285,437,1095,3
,Asepeyo Sant Feliu,Regulación de la temperatura de consigna,1245,411,0,0
,,Instalación de temporizador digital en termo eléctrico,876,282,60,0.2
,,Instalación cortina de aire en puerta de entrada,2704,893,1200,1.3
,,Sistema de Gestión Energética,1956,646,1095,2
,Asepeyo Sants,Regulación de la temperatura de consigna,914,301,0,0
,,Mejora en el control de la iluminación,4530,1491,1080,0.7
,,Instalación cortina de aire en puerta de entrada,3362,1107,1200,1.1
,,Sistema de Gestión Energética,2358,776,1500,1.9
,Asepeyo Tarragona,Instalación Fotovoltaica,11646,4243,6750,2
,,Optimización de la potencia contratada,0,488,10,0
,,Sistema de Gestión Energética,1068,389,1500,3.86
,,Promover la cultura energética,712,259,0,0
,,Instalación de temporizador digital en termo eléctrico,1123,409,17,0
,,Instalación cortina de aire en puerta de entrada,499,182,1200,6.6
,Asepeyo Valls,Regulación de la temperatura de consigna,1794,588,0,0
,,Sistema de Gestión Energética,1025,336,1500,4.47
,,Promover la cultura energética,898,294,0,0
,Asepeyo Vía Augusta 18,Sustitución luminarias a LED,13096,4260,5183,1.2
,,Reducción del consumo remanente,7305,2338,850,0.4
,,Sistema de Gestión Energética,5479,1754,1500,0.9
,,Promover la cultura energética,7305,2338,0,0
,,Instalación de temporizador digital en termo eléctrico,1530,490,102,0.2
,,Optimización de la potencia contratada,0,913,40,0.04
,Asepeyo Vía Augusta 18 bajo,Regulación de la temperatura de consigna,2650,809,0,0
,,Regulación de ventilación mediante sonda de CO2,2681,818,550,0.7
,,Sistema de Gestión Energética,4024,1228,1500,1.2
,,Sustitución luminarias a LED,2684,819,486,0.6
,Asepeyo Vía Augusta 36,Regulación de la temperatura de consigna,51260,15629,0,0
,,Sustitución luminarias a LED,49516,15097,13533,0.9
,,Instalación cortina de aire en puerta de entrada,34174,10420,1200,0.1
,,Sistema de Gestión Energética,23566,7185,3000,0
,,Promover la cultura energética,11783,3593,0,0
,,Instalación Fotovoltaica,13682,4171,9000,2.2
,Asepeyo Vic 2,Instalación de temporizador digital en termo eléctrico,399,37,70,1.9
,,Instalación cortina de aire en puerta de entrada,2430,752,1200,1.6
,,Sistema de Gestión Energética,1447,448,1500,3.3
Comunidad Valenciana,Asepeyo Alicante,Promover la cultura energética,2726,917,250,0
,,Instalación Fotovoltaica,47941,16118,25389,1.6
,,Sistema de Gestión Energética,4089,1375,2495,1.8
,,Eliminación de la energía reactiva,0,217,1290,5.9
,Asepeyo Almussafes,Instalación Fotovoltaica,13930,4843,7650,1.58
,,Mejora en el control de la iluminación,328,114,564,4.94
,,Regulación de la temperatura de consigna,868,302,0,0
,,Sistema de Gestión Energética,975,339,1500,4.43
,,Promover la cultura energética,731,254,0,0
,Asepeyo Benidorm,Promover la cultura energética,995,342,0,0
,,Instalación cortina de aire en puerta de entrada,2748,945,1200,1.3
,,Sistema de Gestión Energética,1493,513,1495,2.9
,,Eliminación de la energía reactiva,0,783,1491,1.9
,,Mejora en el control de la iluminación,318,109,240,2
,Asepeyo Castellón de la Plana,Instalación Fotovoltaica,22664,7715,12600,1.63
,,Sustitución luminarias a LED,2234,761,900,1.18
,,Mejora en el control de la iluminación,0,0,0,0
,,Sistema de Gestión Energética,1619,551,1500,2.72
,,Promover la cultura energética,2158,735,0,0
,Asepeyo Elche,Promover la cultura energética,2363,780,0,0
,,Instalación cortina de aire en puerta de entrada,6410,2115,2400,1.1
,,Sistema de Gestión Energética,3545,1169,2495,2.1
,,Eliminación de la energía reactiva,0,668,1491,2.2
,,Mejora en el control de la iluminación,316,104,240,2.3
,Asepeyo Gandía,Mejora en el control de la iluminación,2698,918,338,0.37
,,Eliminación de la energía reactiva,0,149,589,3.95
,,Sistema de Gestión Energética,964,337,1500,4.44
,,Promover la cultura energética,1286,450,0,0
